序号,字段名称,字段分组,字段类型建议,是否建议必填,是否标签字段,是否敏感/内部字段,当前用途/说明,示例值,非空记录数,唯一值数量,原始字段顺序
1,编号,基础信息字段,短文本/文本（待确认）,是,否,否/待确认,故事唯一编号，用于系统主键或外部编号映射。,TK-00001 / TK-00002 / TK-00003,104,104,1
2,故事标题,基础信息字段,短文本/文本（待确认）,是,否,否/待确认,故事标题，用于列表、详情、搜索和渠道展示。,泰康之家：养老社区的硬件创新与智慧守护 / 泰康保险集团：以创新应对长寿时代 / 泰康同济（武汉）医院：用生命书写希波克拉底誓言,104,104,2
3,故事摘要,基础信息字段,长文本,是,否,否/待确认,故事摘要，用于快速浏览、搜索和汇报引用。,泰康之家养老社区目前已在全国布局36城44个项目，在住居民超2万人。为提升养老服务的效率与安全性，泰康自主研发了“泰乐OS”智慧养老系统，并配套推出智能床垫、小泰智能音箱等终端硬件。智能床垫可实时监测长者呼吸、心率及离床状态，数据异常时自动预警；小泰智能音箱支持语音紧急呼叫、双向通话和社区服务查询，已投放1.1万台。2026年3月，泰康与武汉大学联合启动“智慧养医实验室”和“泰康长寿队列”项目，依托全国2万余名居民的全维度数据，聚焦心脑血管疾病、记忆障碍等老年高发疾病开展科研攻关，探索从“被动照护”向“主动健康”的转型。 / 泰康保险集团的创新历程可分为三个波次：1996年至2000年，以“创新就是率先模仿”起步，学习国际先进经验；2000年至2007年，从模仿走向自主创新，推出“爱家之约”等家庭保障计划；2007年至今，开创“保险+医养”的原创商业模式，构建“长寿、健康、富足”三大闭环。2007年，泰康考察国际养老社区后决定进入养老领域，2012年推出“幸福有约”产品，将虚拟保险与实体医养服务衔接，2015年首家旗舰养老社区燕园开业。2024年，泰康进一步提出“新寿险”概念，在传统“支付+投资”两端基础上加入“服务”端，形成三端协同。截至2025年，泰康之家已在全国布局36城44个项目，在住居民超2万人；HWP健康财富规划师队伍超3.6万人，其中HWP优才项目覆盖117个三四线城市，累计标保超12亿元。 / 2020年2月，距离原定开业还有两个多月，泰康保险集团投资近40亿元建设的泰康同济（武汉）医院主动请缨，以“火线开业”的方式投入武汉抗疫。医院累计收治确诊患者2060名，收治量仅次于火神山与金银潭医院，在武汉市新冠肺炎定点治疗医院中位列第三。抗疫期间，1900多名医护人员与艺术家团队共同创作了高9.9米、宽6.57米的巨幅壁画《用生命书写的希波克拉底誓言》，壁画用2万米特制麻绳为基底，将这1900多个个体的真实情感定格在医院门诊大厅。2020年9月，泰康同济（武汉）医院获评“全国抗击新冠肺炎疫情先进集体”。,104,104,3
4,一级标签（总领概念）,标签字段,单选,是,是,否/待确认,确定故事归属的战略母题,医养康宁 / 商业向善 / 创新永续,89,5,4
5,二级标签（业务板块）,标签字段,单选,是,是,否/待确认,确定故事归属的业务主体,之家 / 公益 / 人寿,88,7,5
6,场景标签,标签字段,单选,待业务确认,是,否/待确认,确定故事发生的业务场景,养老社区 / 商业洞见 / 医院,92,18,6
7,三级标签（八大关系）,标签字段,单选,待业务确认,是,否/待确认,识别故事主要作用于哪类关系,客户 / 行业 / 员工,90,7,7
8,四级标签（叙事类型）,标签字段,多选/枚举（待确认）,待业务确认,是,否/待确认,确定故事属于哪类叙事,服务故事 / 文化故事 / 公益故事,104,9,8
9,主角角色,标签字段,单选,待业务确认,是,否/待确认,确定第一主角是谁,客户 / 创始人 / 一线员工,98,7,9
10,协同角色,标签字段,多选/枚举（待确认）,待业务确认,是,否/待确认,识别故事中的其他角色,一线员工 / 高管 / 创始人,23,7,10
11,关键人物名称,来源/人物字段,单选,待业务确认,是,是,记录具体人物或群体,陈东升 / 泰康保险集团 / 钱理群 / 崔可忻,98,63,11
12,人物主题标签,标签字段,多选/枚举（待确认）,待业务确认,是,否/待确认,备选标签，在上述标签不够情况下启用,家庭与成长 / 人生转折 / 真实受益 / 日常坚守,104,33,12
13,价值观标签,标签字段,多选/枚举（待确认）,待业务确认,是,否/待确认,增加后续主题策划、领导讲话、周年册、人物片时的调用效率,商业向善 / 关爱生命 / 礼赞生命,104,13,13
14,重要程度,标签/管理字段,单选,待业务确认,是,否/待确认,便于后续筛选重点故事,,0,0,14
15,是否30周年重点故事,标签/管理字段,单选,待业务确认,是,否/待确认,筛选30周年重点池,,0,0,15
16,是否适合对外传播,标签/管理字段,单选,待业务确认,是,否/待确认,用于内容安全管理,,0,0,16
17,传播用途标签,标签字段,多选/枚举（待确认）,待业务确认,是,否/待确认,便于新项目启动时调用,,0,0,17
18,时间（仅开始年份）,基础信息字段,年份/数字或日期（待平台字段类型确认）,待业务确认,否,否/待确认,故事发生时间或起始年份，用于时间维度统计。,2024年 / 2020年 / 2021年,99,35,18
19,地点,基础信息字段,短文本/文本（待确认）,待业务确认,否,否/待确认,故事发生地点，用于地点统计。,北京 / 武汉 / 上海,86,28,19
20,细分地点,基础信息字段,短文本/文本（待确认）,待业务确认,否,否/待确认,更细粒度地点信息。,泰康之家·燕园 / 泰康之家·申园 / 泰康之家,47,29,20
21,金句,内容详情字段,长文本,待业务确认,否,否/待确认,可用于传播引用的关键表达。,“如果那天在家里，我将手足无措。” / 从智能床垫到语音音箱，从健康监测到长寿队列研究，泰康通过持续的技术迭代与医养融合，将智慧养老从概念转化为覆盖2万余名居民的日常实践。 / 从“模仿创新”到“自主创新”，泰康用近三十年时间探索出“支付+服务+投资”三端协同的新寿险模式，为行业高质量发展提供了一份企业样本。,86,85,21
22,背景,内容详情字段,长文本,待业务确认,否,是,故事背景。,"在泰康之家护理区的房间里，看似普通的床垫内嵌了生命体征监测器。这张智能床垫可以在不打扰长者休息的前提下，实时监测呼吸、心率以及是否在床或离床。当数据出现异常波动，或长者夜间离床时间过长时，系统会自动触发预警，将信息同步至社区医护人员的终端。
这一设备是泰康自主研发的“泰乐OS”智慧养老系统的感知终端之一。监测数据自动汇入居民的健康档案，为照护方案制定、慢病管理提供连续性的数据支持。泰康之家相关负责人介绍，该系统重点提升了夜间安全监护效率，帮助医护人员在第一时间发现并处置突发状况。 / 1996年泰康人寿成立之初，中国寿险业尚处于起步阶段。泰康提出“创新就是率先模仿”，对标国际成熟保险公司的产品、服务和治理结构，迅速建立起规范化的经营体系。2000年前后，泰康开始从单纯模仿走向自主创新，2002年推出“爱家之约”家庭保障计划，将“一张保单保全家”的理念植入市场，这是泰康首个具有自主知识产权的产品创新。
2007年，泰康创始人陈东升在一次考察中接触到国际CCRC持续照料养老社区模式，萌生了将保险与养老服务结合的想法。彼时，国内尚无企业尝试这一方向。泰康用了五年时间进行市场调研、模式论证和资源整合，2012年推出“幸福有约”保险计划，首次将虚拟保险产品与实体医养社区入住资格挂钩，开创“保险+医养”的先河。2015年，首家旗舰社区泰康之家·燕园在北京昌平开业运营。
“商业创新的本质是便捷和实惠。”陈东升在一次内部讲话中这样总结泰康的创新方法论。在他看来，创新不是一蹴而就的颠覆，而是持续试错和迭代的永续过程。 / 2020年春节前夕，新冠肺炎疫情在武汉暴发。泰康保险集团多次向武汉市政府请战，提出将尚未完工的泰康同济（武汉）医院提前投入使用。2月8日，该院被武汉市防控指挥部确定为确诊病例治疗点。2月10日开始接收患者，2月13日获湖北省卫健委特批医疗机构执业许可证，2月14日医院正式揭牌投入抗疫。从决定到收治患者，前后仅用数天。
医院最初提供1060张床位，救治高峰时在院患者达1009人。收治患者中重症及危重症占相当比例，还成功救治90岁及以上高龄患者19人，首位入院患者即为90岁高龄。历经58天奋战，医院累计收治确诊患者2060名，治愈出院2007人，全院实现军地医护人员“零感染”。2020年4月5日，医院在院患者清零。",104,104,22
23,核心情节,内容详情字段,长文本,待业务确认,否,是,故事主体情节。,泰康之家养老社区目前已在全国布局36城44个项目，在住居民超2万人。为提升养老服务的效率与安全性，泰康自主研发了“泰乐OS”智慧养老系统，并配套推出智能床垫、小泰智能音箱等终端硬件。智能床垫可实时监测长者呼吸、心率及离床状态，数据异常时自动预警；小泰智能音箱支持语音紧急呼叫、双向通话和社区服务查询，已投放1.1万台。2026年3月，泰康与武汉大学联合启动“智慧养医实验室”和“泰康长寿队列”项目，依托全国2万余名居民的全维度数据，聚焦心脑血管疾病、记忆障碍等老年高发疾病开展科研攻关，探索从“被动照护”向“主动健康”的转型。 / 泰康保险集团的创新历程可分为三个波次：1996年至2000年，以“创新就是率先模仿”起步，学习国际先进经验；2000年至2007年，从模仿走向自主创新，推出“爱家之约”等家庭保障计划；2007年至今，开创“保险+医养”的原创商业模式，构建“长寿、健康、富足”三大闭环。2007年，泰康考察国际养老社区后决定进入养老领域，2012年推出“幸福有约”产品，将虚拟保险与实体医养服务衔接，2015年首家旗舰养老社区燕园开业。2024年，泰康进一步提出“新寿险”概念，在传统“支付+投资”两端基础上加入“服务”端，形成三端协同。截至2025年，泰康之家已在全国布局36城44个项目，在住居民超2万人；HWP健康财富规划师队伍超3.6万人，其中HWP优才项目覆盖117个三四线城市，累计标保超12亿元。 / 2020年2月，距离原定开业还有两个多月，泰康保险集团投资近40亿元建设的泰康同济（武汉）医院主动请缨，以“火线开业”的方式投入武汉抗疫。医院累计收治确诊患者2060名，收治量仅次于火神山与金银潭医院，在武汉市新冠肺炎定点治疗医院中位列第三。抗疫期间，1900多名医护人员与艺术家团队共同创作了高9.9米、宽6.57米的巨幅壁画《用生命书写的希波克拉底誓言》，壁画用2万米特制麻绳为基底，将这1900多个个体的真实情感定格在医院门诊大厅。2020年9月，泰康同济（武汉）医院获评“全国抗击新冠肺炎疫情先进集体”。,104,104,23
24,关键转折/细节,内容详情字段,长文本,待业务确认,否,是,关键转折或细节。,"在泰康之家护理区的房间里，看似普通的床垫内嵌了生命体征监测器。
在泰康之家燕园住了八年的刘叔叔，床头就放着一个小泰音箱。
他说自己不会用智能手机，但会对着音箱说“小泰，帮我叫管家”。
截至2025年底，泰康之家已在全国养老社区投放了小泰智能音箱1.1万台。 / 这一设计解决了养老服务的“支付端”与“服务端”衔接问题，目前已成为泰康的高端核心产品线。
优才项目通过适配化创新——调整招募标准、优化培训体系、依托线上超体体验——克服了没有本地医养实体的挑战。
2018年底，泰康启动HWP项目，将传统保险代理人升级为“保险顾问+医养顾问+理财顾问”三位一体的复合型专业人才。
从率先模仿到自主创新，从一款产品到一个生态，泰康用近三十年时间完成了从传统寿险公司向“保险+医养”大健康生态的转型。 / 儿科医生张晓鸣参与壁画创作后说，自己在隔离病房经历了抗疫全过程，从壁画上找到当年创作的内容时，她表示要更加懂得珍惜，学会感恩。
壁画的基底是20000米特制麻绳，由艺术家一根根手工粘贴在画布上。
2020年7月，高9.9米、宽6.57米的巨幅壁画《用生命书写的希波克拉底誓言》安装于该院门诊大厅。
正如参与壁画创作的一名艺术家所说，正是因为有这么多医护人员不畏生死的努力，广大百姓才能重新回到健康平安的今天。",102,102,24
25,结果/影响,内容详情字段,长文本,待业务确认,否,否/待确认,故事结果和影响。,智慧养医实验室产出的研究成果，将直接反哺到社区的日常照护和临床决策中，形成“数据—研究—服务”的闭环。 / 截至2026年4月，优才项目已覆盖117个中支机构，累计人力超8000人，累计标保超12亿元，服务客户超20万人。 / 历经58天奋战，医院累计收治确诊患者2060名，治愈出院2007人，全院实现军地医护人员“零感染”。,101,101,25
26,价值意义/传播价值,内容详情字段,长文本,待业务确认,否,是,对故事传播价值的内部判断。,可用于呈现泰康养老生态、公益项目与一线人物如何回应长寿时代的普惠养老需求。 / 适合用于长寿时代、文化养老相关传播。 / 可用于呈现泰康对生命终点尊严、医疗人文与安宁疗护体系建设的持续探索。,104,89,26
27,原文,内容详情字段,长文本,待业务确认,否,是,原始材料或完整文本。,"一、从一张床垫到一个系统：智慧养老的硬件基础
在泰康之家护理区的房间里，看似普通的床垫内嵌了生命体征监测器。这张智能床垫可以在不打扰长者休息的前提下，实时监测呼吸、心率以及是否在床或离床。当数据出现异常波动，或长者夜间离床时间过长时，系统会自动触发预警，将信息同步至社区医护人员的终端。
这一设备是泰康自主研发的“泰乐OS”智慧养老系统的感知终端之一。监测数据自动汇入居民的健康档案，为照护方案制定、慢病管理提供连续性的数据支持。泰康之家相关负责人介绍，该系统重点提升了夜间安全监护效率，帮助医护人员在第一时间发现并处置突发状况。
二、“小泰”音箱：语音交互背后的响应网络
截至2025年底，泰康之家已在全国养老社区投放了小泰智能音箱1.1万台。这款基于泰康自研大模型、RAG检索增强生成技术与多智能体架构开发的设备，看起来像一个普通的智能音箱，但其核心功能是养老服务场景的专业适配。
居民可以通过语音指令实现紧急呼叫——无需拨号或按键，只需说出“小泰，救命”或“小泰，呼叫管家”，系统便会自动接通社区安保或医护团队，并支持双向通话。此外，小泰音箱还能查询当日菜单、活动安排、预约出行、报修维修，甚至提供简单的日常聊天陪伴。它将原本需要点击屏幕或拨打电话的操作，简化为一句语音指令，降低了高龄居民使用智能设备的技术门槛。
三、长寿队列：2万名居民的数据科研
硬件只是前端触角，数据的价值在于后续的分析与应用。2026年3月21日，在泰康仙林鼓楼医院晋升三甲医院之际，泰康与武汉大学联合成立的“智慧养医实验室”正式启动，同期启动的还有“泰康长寿队列”研究项目。
该项目依托泰康之家全国2万余名在住居民——平均年龄近80岁、平均居住周期8至10年——系统采集生活、医疗、饮食、运动、睡眠等全维度数据，聚焦心脑血管疾病、记忆障碍、老年精神卫生等三大高发领域。科研团队希望通过长期队列数据，构建疾病风险预测模型，探索无创脑机接口等前沿干预技术，并为老年健康险产品创新提供科学依据。
四、从照护到预防：数据驱动的主动健康
传统养老照护模式更多是对已发生问题的被动响应。而泰康通过硬件+系统+科研的组合，尝试向“主动健康”转型。智能床垫的预警可以在老人跌倒或突发疾病前捕捉生理参数异常；长寿队列研究则试图从海量数据中发现老年疾病的早期信号和干预窗口。
泰康仙林鼓楼医院历经十年建设成为三甲医院，而三甲只是起点。泰康医疗事业部负责人表示，建设“长寿医疗”体系需要海量的、针对高龄人群的真实世界数据。过去，临床研究主要聚焦75岁以下人群，而泰康之家居民的高龄样本恰好填补了这一空白。智慧养医实验室产出的研究成果，将直接反哺到社区的日常照护和临床决策中，形成“数据—研究—服务”的闭环。
在泰康之家燕园住了八年的刘叔叔，床头就放着一个小泰音箱。他说自己不会用智能手机，但会对着音箱说“小泰，帮我叫管家”。这声简单的呼唤背后，是一整套硬件、网络、人员和科研体系在默默运转。技术的温度，正藏在这些细碎的日常里。 / 一、创新三部曲：从率先模仿到自主创新
1996年泰康人寿成立之初，中国寿险业尚处于起步阶段。泰康提出“创新就是率先模仿”，对标国际成熟保险公司的产品、服务和治理结构，迅速建立起规范化的经营体系。2000年前后，泰康开始从单纯模仿走向自主创新，2002年推出“爱家之约”家庭保障计划，将“一张保单保全家”的理念植入市场，这是泰康首个具有自主知识产权的产品创新。
2007年，泰康创始人陈东升在一次考察中接触到国际CCRC持续照料养老社区模式，萌生了将保险与养老服务结合的想法。彼时，国内尚无企业尝试这一方向。泰康用了五年时间进行市场调研、模式论证和资源整合，2012年推出“幸福有约”保险计划，首次将虚拟保险产品与实体医养社区入住资格挂钩，开创“保险+医养”的先河。2015年，首家旗舰社区泰康之家·燕园在北京昌平开业运营。
“商业创新的本质是便捷和实惠。”陈东升在一次内部讲话中这样总结泰康的创新方法论。在他看来，创新不是一蹴而就的颠覆，而是持续试错和迭代的永续过程。
二、长寿时代的企业方案：新寿险模式
随着中国加速进入老龄化社会，泰康于2018年正式提出“长寿时代”理论框架。该理论认为，人口结构的变化正在重塑整个社会的经济形态，健康养老将成为最大民生需求。基于此，泰康构建了“长寿、健康、富足”三大闭环，并在传统寿险“支付端+投资端”的二维结构中，加入医养康宁“服务端”，形成“支付+服务+投资”三端协同的“新寿险”模式。
这一模式的核心逻辑是：通过保险的支付功能筹集长期资金，通过自建的医养服务网络承接高品质养老和医疗需求，通过专业的投资运营实现资产保值增值，最终为客户提供覆盖全生命周期的一站式解决方案。2024年1月，泰康正式对外发布“新寿险”概念，相关研究文章发表于《管理世界》等学术期刊。
泰康之家的十年运营数据提供了实证支撑。以燕园为例，园区70-90岁居民的平均预期寿命较社会同龄人群延长3-5岁。目前，泰康之家已在全国布局36个城市44个项目，25家社区开业运营，在住居民超2万人。服务团队平均年龄34岁，依托“溢彩培训”体系累计为行业输送专业养老从业人员近15万人次。
三、三张名片：产品、服务、队伍的系统创新
在“新寿险”框架下，泰康形成了三张创新名片。
第一张是产品创新——“幸福有约”。2012年推出的“幸福有约”将传统年金保险与养老社区入住确认函绑定，客户购买一定保额的保险后，可获得未来入住泰康之家的资格。这一设计解决了养老服务的“支付端”与“服务端”衔接问题，目前已成为泰康的高端核心产品线。
第二张是服务创新——泰康之家。通过自建持续照料养老社区，泰康打破了传统保险“只赔付、不服务”的局限，让保单背后的服务变得可感知、可体验。社区内配建二级康复医院，提供从独立生活到专业护理的梯度服务，形成了“医养融合”的运营标准。
第三张是队伍创新——健康财富规划师（HWP）。2018年底，泰康启动HWP项目，将传统保险代理人升级为“保险顾问+医养顾问+理财顾问”三位一体的复合型专业人才。截至2024年，HWP队伍规模已突破3.6万人，硕士、博士超1000人，来自国内双一流高校者超2200人。
四、创新下沉：HWP优才项目的普惠价值
2023年4月，泰康启动HWP优才项目，将英才模式复制到三四线城市。此前，泰康的医养实体和绩优队伍主要布局在一二线城市，而三四线城市同样面临老龄化加速、专业服务供给不足的困境。优才项目通过适配化创新——调整招募标准、优化培训体系、依托线上超体体验——克服了没有本地医养实体的挑战。
截至2026年4月，优才项目已覆盖117个中支机构，累计人力超8000人，累计标保超12亿元，服务客户超20万人。项目还通过泰康溢彩公益基金会，在各地捐赠服务养老机构超100家。2025年，HWP优才项目荣获泰康集团级创新大奖。项目负责人表示，英才项目的成功证明了泰康战略的可行性，优才项目的成功则证明了泰康战略的普遍性。
结语
从率先模仿到自主创新，从一款产品到一个生态，泰康用近三十年时间完成了从传统寿险公司向“保险+医养”大健康生态的转型。正如陈东升所言：“我们最骄傲的，不是建成了多少社区，而是让长辈们更健康、更长寿、更舒心。”在长寿时代已然到来的今天，这一创新实践为行业提供了可复制的范本，也为社会应对老龄化挑战贡献了一份企业方案。 / 一、火线开业：尚未竣工的医院投入抗疫
2020年春节前夕，新冠肺炎疫情在武汉暴发。泰康保险集团多次向武汉市政府请战，提出将尚未完工的泰康同济（武汉）医院提前投入使用。2月8日，该院被武汉市防控指挥部确定为确诊病例治疗点。2月10日开始接收患者，2月13日获湖北省卫健委特批医疗机构执业许可证，2月14日医院正式揭牌投入抗疫。从决定到收治患者，前后仅用数天。
医院最初提供1060张床位，救治高峰时在院患者达1009人。收治患者中重症及危重症占相当比例，还成功救治90岁及以上高龄患者19人，首位入院患者即为90岁高龄。历经58天奋战，医院累计收治确诊患者2060名，治愈出院2007人，全院实现军地医护人员“零感染”。2020年4月5日，医院在院患者清零。
二、一座桥：两万米麻绳连接的公共艺术
2020年7月，高9.9米、宽6.57米的巨幅壁画《用生命书写的希波克拉底誓言》安装于该院门诊大厅。画面采用复杂转印技术，将医护人员的手记还原到肌理上。壁画的基底是20000米特制麻绳，由艺术家一根根手工粘贴在画布上。主创艺术家李博介绍，选择麻绳因其质朴无华，一整根麻绳体现连接的含义，将军队、政府、医院、患者连接在一起。
壁画由中央美术学院壁画系唐晖教授、青年艺术家李博及其团队，与1993位参与抗疫的医护人员共创完成。创作团队设置了5个问题：名字、最想念的人或物、最想吃什么喝什么、回家后最想做的事、四颗心分别是什么颜色。在物资紧张的情况下，许多原稿画在随手撕下的横格纸上。
三、草莓与长发：医护人员的手记
壁画的每一处细节，都来自个体的真实表达。泰康同济（武汉）医院ICU护士长曾敏在手记中画了一颗草莓。“草莓代表春天，我希望疫情早点结束，春暖花开，能够去果园采摘草莓。”
儿科护士长王明春进隔离舱前剪掉了留了多年的长发。为了让6岁的女儿记住妈妈长发的模样，她在手记中给自己画上了长长的头发。儿科医生张晓鸣参与壁画创作后说，自己在隔离病房经历了抗疫全过程，从壁画上找到当年创作的内容时，她表示要更加懂得珍惜，学会感恩。
这些手记在普通人看来简单甚至稚拙，但正是这种质朴，赋予了《希波克拉底誓言》真实的温度。主创艺术家李博回忆，当拿到这些原稿时，许多艺术家和插画师都被深深打动。
四、一座纪念碑：2020年春天的记录
这张壁画不只是一件公共艺术作品，也是一段历史的留存。它记录的不是宏大叙事，而是1900多个具体的人在特殊时刻最朴素的想法。
正如参与壁画创作的一名艺术家所说，正是因为有这么多医护人员不畏生死的努力，广大百姓才能重新回到健康平安的今天。泰康同济（武汉）医院执行院长肖骏表示，这幅壁画及其所蕴含的“危难当头，匹夫有责，救死扶伤，实践伟大的人道主义精神”，已成为医院核心理念。
2020年9月，该院获得“全国抗击新冠肺炎疫情先进集体”称号。医院在抗疫中留下的精神财富，不仅体现在2060名患者得到救治的数字上，也凝结在那两千幅简笔画构成的壁画中。这也是泰康保险集团“尊重生命、关爱生命、礼赞生命”价值观在特殊时期的践行与注脚。
参考资料：
《泰康抗疫》电子书",95,95,27
28,关联故事,内容详情字段,长文本,待业务确认,否,否/待确认,与本故事相关的其他故事线索。,TK-00020 / TK-00019,2,2,28
29,来源标题,来源字段,短文本/文本（待确认）,待业务确认,否,否/待确认,原始来源标题。,共创文章素材 / 秦朔访问 || 陈东升和泰康启示录：伟大的时代，是让有梦想的人活得比梦想更精彩的时代 / 严重怀疑！父母争着去泰康之家的“终极目的”是为了这件事儿,104,91,29
30,来源类型,来源字段,短文本/文本（待确认）,待业务确认,否,否/待确认,来源分类。,内部收集 / 其他媒体 / 官网,104,5,30
31,来源链接,来源字段,URL/链接（待平台字段类型确认）,待业务确认,否,是,原始来源链接，通常建议按内部或受限字段处理。,泰康叙事故事集文档 / https://www.taikang.com/news/interview/2018/08/01/2653.html / https://mp.weixin.qq.com/s/UJkkiSdYq32HYdg3ANunQw,90,49,31
32,故事提供者,来源字段,短文本/文本（待确认）,待业务确认,否,是,故事提供来源或提供人/部门，建议按内部字段处理。,共创故事v2 / 故事集整理,33,2,32
33,首次发布时间,基础信息字段,短文本/文本（待确认）,待业务确认,否,否/待确认,故事首次发布时间或来源发布时间。,2018-07-26 00:00:00 / 2023-09-11 00:00:00 / 2021-08-16 00:00:00,27,24,33
34,备注,内部备注字段,长文本,待业务确认,否,是,内部备注，默认不建议对外展示。,根据多来源拼接补充细节 / 建议补充细节 / 建议仅作为一句话图片故事。,19,15,34
